,Country,Vaccine_Manufacturer,Date,Total_Vaccinations,ancestral_alpha_severe,ancestral_alpha_infection,beta_gamma_delta_severe,beta_gamma_delta_infection,omicron_severe,omicron_infection,year,Vaccine_Wise_Max_Total_Vaccination,Total_Vaccination_Country_Wise,Percentage_of_Vaccine,Vaccine_Manufacturers_,efficacy_ancestral_alpha_severe_,efficacy_ancestral_alpha_infection_,efficacy_beta_gamma_delta_severe_,efficacy_beta_gamma_delta_infection_,efficacy_omicron_severe_,efficacy_omicron_infection_,breakThrough_ancestral_alpha_severe_,breakThrough_ancestral_alpha_infection_,breakThrough_beta_gamma_delta_severe_,breakThrough_beta_gamma_delta_infection_,breakThrough_omicron_severe_,breakThrough_omicron_infection_,pop_20,pop_21,pop_22
0,Argentina,CanSino,2021-02-05,2,1,1,1,1,0,0,2021,979735,109748183.0,0.008927118182904223,CanSino,0.59,0.55,0.57,0.54,0.43,0.29,99.41,99.45,99.43,99.46,99.57,99.71,45036032,45276780,45510318
1,Argentina,Moderna,2021-02-25,56,54,51,54,50,40,26,2021,13252207,109748183.0,0.12075103785545133,Moderna,11.71,11.11,11.71,10.99,8.81,5.8,88.29,88.89,88.29,89.01,91.19,94.2,45036032,45276780,45510318
2,Argentina,Oxford/AstraZeneca,2020-12-29,1,0,0,0,0,0,0,2020,26759220,109748183.0,0.2438238089098933,Oxford/AstraZeneca,22.92,15.36,22.92,16.82,17.31,8.78,77.08,84.64,77.08,83.18,82.69,91.22,45036032,45276780,45510318
3,Argentina,Pfizer/BioNTech,2021-01-02,1,0,0,0,0,0,0,2021,19136214,109748183.0,0.17436474551929484,Pfizer/BioNTech,16.56,15.0,16.56,14.65,12.55,7.67,83.44,85.0,83.44,85.35,87.45,92.33,45036032,45276780,45510318
4,Argentina,Sinopharm/Beijing,2020-12-29,1,0,0,0,0,0,0,2020,28878166,109748183.0,0.2631311536155455,Sinopharm/Beijing,19.21,17.89,18.68,17.63,13.95,9.21,80.79,82.11,81.32,82.37,86.05,90.79,45036032,45276780,45510318
5,Argentina,Sputnik V,2020-12-29,20488,18848,17619,18234,17414,11268,7375,2020,20742641,109748183.0,0.1890021359169108,Sputnik V,17.39,16.25,16.82,16.07,12.66,8.32,82.61,83.75,83.18,83.93,87.34,91.68,45036032,45276780,45510318
6,Austria,Johnson&Johnson,2021-01-08,0,0,0,0,0,0,0,2021,368082,19366552.0,0.01900606778119306,Johnson&Johnson,1.63,1.37,1.44,1.22,1.08,0.63,98.37,98.63,98.56,98.78,98.92,99.37,8907777,8922082,8939617
7,Austria,Moderna,2021-01-08,0,0,0,0,0,0,0,2021,1646408,19366552.0,0.08501296462065111,Moderna,8.25,7.82,8.25,7.74,6.21,4.08,91.75,92.18,91.75,92.26,93.79,95.92,8907777,8922082,8939617
8,Austria,Novavax,2021-01-08,0,0,0,0,0,0,0,2021,14312,19366552.0,0.000739006096697027,Novavax,0.07,0.06,0.06,0.06,0.05,0.03,99.93,99.94,99.94,99.94,99.95,99.97,8907777,8922082,8939617
9,Austria,Oxford/AstraZeneca,2021-01-08,0,0,0,0,0,0,0,2021,1592629,19366552.0,0.08223606349751882,Oxford/AstraZeneca,7.73,5.18,7.73,5.67,5.84,2.96,92.27,94.82,92.27,94.33,94.16,97.04,8907777,8922082,8939617
