,Country,year,Vaccine_Manufacturer,vaccinated_pop_20,vaccinated_pop_21,vaccinated_pop_22
0,Argentina,2020,Oxford/AstraZeneca,1.68,1.69,1.7
1,Argentina,2021,CanSino,45.97,46.21,46.45
2,Austria,2021,Johnson&Johnson,24.2,24.24,24.29
3,Belgium,2021,Johnson&Johnson,27.01,27.13,27.23
4,Bulgaria,2021,Johnson&Johnson,13.22,13.04,12.85
5,Canada,2020,Pfizer/BioNTech,0.63,0.63,0.64
6,Canada,2021,Moderna,1.41,1.42,1.43
7,Chile,2020,Pfizer/BioNTech,2.39,2.42,2.43
8,Chile,2021,Oxford/AstraZeneca,35.11,35.46,35.66
9,Croatia,2021,Johnson&Johnson,20.03,19.85,19.71
10,Cyprus,2021,Moderna,6.26,6.3,20.4
11,Czechia,2020,Pfizer/BioNTech,0.69,0.69,0.69
12,Czechia,2021,Johnson&Johnson,25.45,25.4,25.36
13,Denmark,2020,Pfizer/BioNTech,0.57,0.57,0.57
14,Denmark,2021,Moderna,3.39,3.4,3.42
15,Ecuador,2021,CanSino,32.76,33.15,33.53
16,Estonia,2021,Johnson&Johnson,16.84,16.83,16.8
17,Finland,2021,Moderna,2.68,2.68,2.68
18,France,2020,Pfizer/BioNTech,0.55,0.55,0.55
19,France,2021,Johnson&Johnson,59.17,59.22,59.31
20,Germany,2020,Johnson&Johnson,22.21,22.23,22.22
21,Hong Kong,2021,Pfizer/BioNTech,0.67,0.67,0.67
22,Hungary,2021,Johnson&Johnson,28.46,28.34,29.1
23,Iceland,2022,Moderna,56.47,57.04,57.43
24,Ireland,2021,Johnson&Johnson,20.89,21.06,21.22
25,Italy,2020,Moderna,1.74,1.73,1.72
26,Italy,2021,Johnson&Johnson,39.45,39.28,39.14
27,Japan,2021,Moderna,1.58,1.57,1.57
28,Latvia,2020,Moderna,2.65,2.62,2.59
29,Latvia,2021,Johnson&Johnson,6.46,6.38,6.3
30,Liechtenstein,2021,Moderna,0.83,0.84,0.84
31,Lithuania,2021,Johnson&Johnson,9.53,9.42,9.3
32,Luxembourg,2021,Johnson&Johnson,15.18,15.4,15.6
33,Malta,2021,Johnson&Johnson,15.9,16.26,16.46
34,Nepal,2022,Johnson&Johnson,7.95,8.13,8.27
35,Netherlands,2021,Johnson&Johnson,23.08,23.17,23.25
36,Norway,2021,Moderna,2.29,2.3,2.31
37,Peru,2021,Oxford/AstraZeneca,4.15,4.2,4.24
38,Peru,2022,Moderna,6.52,6.6,6.67
39,Poland,2021,Johnson&Johnson,14.11,14.07,14.64
40,Portugal,2021,Johnson&Johnson,9.06,9.05,9.03
41,Romania,2020,Pfizer/BioNTech,1.51,1.5,1.52
42,Romania,2021,Johnson&Johnson,9.46,9.41,9.57
43,Slovakia,2020,Pfizer/BioNTech,1.06,1.06,1.1
44,Slovakia,2021,Johnson&Johnson,29.3,29.25,30.3
45,Slovenia,2021,Johnson&Johnson,15.58,15.59,15.6
46,South Africa,2022,Johnson&Johnson,6.35,6.41,6.47
47,South Korea,2021,Johnson&Johnson,33.57,33.56,33.55
48,Spain,2021,Johnson&Johnson,23.91,23.97,24.01
49,Sweden,2021,Moderna,2.5,2.52,2.54
50,Switzerland,2020,Moderna,0.87,0.87,0.88
51,Ukraine,2021,Moderna,14.42,14.3,13.04
52,United States,2021,Johnson&Johnson,17.76,17.82,17.88
53,Uruguay,2021,Oxford/AstraZeneca,37.62,37.59,37.55
